,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
244,TheFallenVII,"6,814","6,033",940,546,"19,236,296","2,310",42,"1,486",505h
245,CallMeLewis-,"28,101","23,948","5,360","2,463","72,382,865","10,374",463,"7,823","1,806h"
246,Ereninanci_,"43,162","30,337","4,957","2,750","112,638,173","16,413",789,"7,707","2,449h"
247,Crimstqr,"15,157","11,619","1,618","1,110","38,702,783","5,343",196,"2,728",859h
248,lBragzzz,"2,471","2,049",303,190,"6,159,032",938,17,493,158h
249,II-zPatroka_,"63,770","47,795","6,854","4,022","144,837,905","26,568","1,337","10,876","3,501h"
250,ImSk1LLz_,"30,493","26,323","3,513","2,816","83,000,847","11,850",188,"6,329","1,992h"
251,RHNvv,"21,574","16,230","2,316","1,610","55,208,057","7,595",446,"3,926","1,252h"
252,PaisaaHP,"22,588","15,240","2,645","1,362","62,248,561","10,090",239,"4,007","1,233h"
253,xJlaD-1,"26,250","24,471","3,529","1,985","78,646,526","9,215",439,"5,514","1,724h"
254,imLopee,"12,037","9,227","1,358",905,"30,067,900","4,204",115,"2,263",714h
255,DamndSIKO,"33,966","28,565","3,902","2,654","80,361,771","11,272",353,"6,556","2,150h"
256,EJenko,"31,211","26,003","3,300","2,596","79,790,432","13,393",876,"5,896","1,831h"
257,SchmidtGhee,"16,453","11,749","2,120","1,347","45,511,675","6,280",71,"3,467","1,042h"
258,CrexJH,"15,573","9,896","1,876",568,"39,355,809","6,127",95,"2,444",782h
259,HxnterTheGod,"25,355","20,002","2,629","1,916","60,867,129","10,069",293,"4,545","1,366h"
260,Samthefire233,"28,925","17,702","3,213","1,676","70,267,673","11,501",260,"4,889","1,543h"
261,f4b10o14,"32,453","29,260","3,799","2,952","82,576,551","13,977",759,"6,751","2,093h"
262,AzzurroOP,"33,436","24,654","3,407","2,504","86,649,125","11,122",683,"5,911","1,849h"
263,Pop-txrt,"42,016","37,706","4,825","3,696","106,518,285","16,274",778,"8,521","2,681h"
264,IWILLBUSTYOUIN2K,"37,404","35,264","3,896","3,262","92,343,191","15,480",343,"7,158","2,259h"
265,xRaZoR-_V,"18,614","15,184","2,737","1,620","52,849,945","7,154",300,"4,357","1,270h"
266,MMan-iac,"47,813","36,662","5,397","4,116","115,960,854","15,530","1,243","9,513","3,097h"
267,Tuoxe,"12,012","5,810","1,333",352,"23,834,997","3,732",297,"1,685",490h
268,Crafty_Soulx,"21,406","17,328","2,496","1,853","53,332,931","9,568",272,"4,349","1,304h"
269,jLucent,"44,733","35,832","4,844","3,649","111,097,190","18,978","1,024","8,493","2,668h"
270,BSK-TheGemeos,"4,004","3,188",409,283,"10,912,690","1,833",16,692,220h
271,x-lsiCaRiol,"80,937","46,299","11,082","4,145","200,684,329","29,699",801,"15,227","4,244h"
272,Vibrazy,"12,098","9,963","1,237",973,"33,388,961","4,999",80,"2,210",723h
273,IsPaaaGX,"18,803","15,136","2,469","1,381","55,716,719","6,217",362,"3,850","1,223h"
274,i-Sira,"24,334","14,832","2,491","1,281","56,103,399","11,425",194,"3,772","1,167h"
275,iIIegalActivity,"28,435","21,272","3,455","1,622","71,735,961","11,412",331,"5,077","1,670h"
276,ibbrhm,"43,157","40,231","5,136","4,039","114,793,998","17,309",820,"9,175","2,916h"
277,NBAkobeLogo,"22,961","16,356","2,745","1,836","57,856,293","10,185",282,"4,581","1,322h"
278,AzLittIe,"38,216","27,245","6,143","2,745","104,844,283","13,477","1,201","8,888","2,286h"
279,ATKUmg,"13,862","7,878","1,573",544,"31,628,784","7,484",127,"2,117",647h
280,Uniquex9,"33,250","26,534","3,954","2,359","86,877,882","12,997",210,"6,313","2,030h"
281,VGdynamite,"1,775","1,170",167,99,"3,830,992",748,24,266,81h
282,MowlidPlayz,"7,900","6,506",920,684,"23,510,380","3,089",117,"1,604",515h
283,Hambeast-,"16,586","13,252","1,750","1,464","38,489,017","6,910",237,"3,214",975h
284,nuke__d,"22,581","22,952","2,872","2,300","70,829,743","8,449",280,"5,172","1,647h"
285,SpecterPENTA,"38,668","36,943","4,534","3,840","100,923,397","13,834",621,"8,374","2,559h"
